LifetimeValue,DaysWithoutFrequency,Age,Gender_dummy,Gender,EnrollmentDuration,DaysWithoutFrequency,AverageFrequency,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,DanceActivities,TeamActivities,RacketActivities,CombatActivities,NatureActivities,SpecialActivities,OtherActivities,NumberOfActivities,NumberOfFrequencies,AttendedClasses,AllowedWeeklyVisitsBySLA,AllowedNumberOfVisitsBySLA,RealNumberOfVisits,Ratio,NumberOfRenewals,HasReferences,NumberOfReferences,Dropout
206.2,36,52,0,Female,8,36,0.58,0,0,0,1,0,0,0,0,0,0,0,1,18,0,7,52.01,3,5.77,1,0,0,0
123.8,5,3,1,Male,1,5,0.61,0,0,1,0,0,0,0,0,0,0,0,1,5,5,2,16,6,37.5,0,0,0,0
79.2,12,32,0,Female,5,12,0.32,0,0,0,1,0,0,0,0,0,0,0,1,6,0,7,35.98,3,8.34,0,0,0,1
780.6,5,2,0,Female,19,5,0.51,0,0,1,0,0,0,0,0,0,0,0,1,39,36,2,17.42,5,28.7,2,0,0,0
50.7,27,38,0,Female,2,27,0.16,0,0,0,1,0,0,0,0,0,0,0,1,1,0,7,38.01,1,2.63,0,0,0,1
197.2,15,19,1,Male,13,15,0.38,0,0,0,1,0,0,0,0,0,0,0,1,20,0,7,30.03,2,6.66,1,0,0,1
45.1,10,20,1,Male,1,10,1.32,0,0,0,1,0,0,0,0,0,0,0,1,7,0,7,21.98,6,27.3,0,0,0,0
233.6,0,5,0,Female,5,0,0.79,0,0,1,0,0,0,0,0,0,0,0,1,16,10,2,17.72,5,28.22,0,0,0,1
120.2,84,41,1,Male,3,84,0.21,0,0,1,0,0,0,0,0,0,0,0,1,3,0,2,17.42,0,0,0,0,0,1
2155.9,94,45,0,Female,51,94,0.71,0,0,0,1,0,0,0,0,0,1,0,2,146,4,7,60.97,0,0,5,0,0,0
43.7,0,23,0,Female,0,0,3.79,0,0,0,1,0,0,0,0,0,0,0,1,13,0,7,21.98,13,59.14,0,0,0,0
88.6,90,29,0,Female,3,90,0.15,0,0,0,1,0,0,0,0,0,0,0,1,2,0,7,60.97,0,0,0,0,0,1
406.1,2,38,0,Female,10,2,1.05,0,0,1,0,0,0,0,0,0,0,0,1,48,0,7,60.97,10,16.4,0,0,0,1
38.6,40,22,0,Female,2,40,0.43,0,0,0,1,0,0,0,0,0,0,0,1,3,0,7,48.02,3,6.25,0,0,0,1
43.7,29,44,0,Female,1,29,0.39,0,0,0,1,0,0,0,0,0,0,0,1,2,0,7,30.03,2,6.66,0,0,0,0
148.6,93,39,1,Male,5,93,0.62,0,0,1,0,0,0,0,0,0,0,0,1,8,6,1,8.71,0,0,2,0,0,1
733.7,305,18,0,Female,23,305,0.53,0,0,0,0,0,1,0,0,0,0,0,1,49,49,4,34.84,0,0,3,0,0,1
41.6,11,37,0,Female,1,11,0.41,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,4.58,1,21.83,0,0,0,1
446.2,33,24,0,Female,21,33,1.34,0,0,0,1,0,0,0,0,0,0,0,1,120,0,7,62.02,10,16.12,1,0,0,1
185.6,88,64,0,Female,6,88,0.87,0,0,0,0,0,0,0,0,0,1,0,1,24,24,2,17.14,0,0,0,0,0,1
43.6,54,26,0,Female,2,54,0.74,0,0,0,1,0,0,0,0,0,0,0,1,9,0,7,30.03,8,26.64,0,0,0,1
83.6,265,31,0,Female,11,265,0.07,0,0,0,1,0,0,0,0,0,0,0,1,3,0,7,30.03,3,9.99,2,0,0,1
109.7,1603,27,0,Female,54,1603,0.05,0,0,1,0,0,0,0,0,0,0,0,1,10,7,2,17.72,0,0,4,0,0,1
158.2,89,24,1,Male,12,89,0.4,0,0,0,1,0,0,0,0,0,0,0,1,20,0,7,28.98,1,3.45,1,0,0,1
173.8,12,23,1,Male,26,12,0.48,0,0,0,1,0,0,0,0,0,0,0,1,48,0,7,60.97,20,32.8,3,0,0,1
1120.1,94,13,0,Female,26,94,1.4,0,0,1,0,0,0,0,0,0,0,0,1,144,99,6,52.26,0,0,2,0,0,1
69.6,9,29,1,Male,2,9,2.33,1,0,0,1,0,0,0,0,0,0,0,1,14,0,7,30.03,17,56.61,0,0,0,1
399.2,318,51,0,Female,13,318,0.13,0,0,1,0,0,0,0,0,0,0,0,1,6,5,2,17.42,0,0,2,0,0,1
758.3,10,3,0,Female,24,10,0.64,0,0,1,0,0,0,0,0,0,0,0,1,62,64,2,17.42,9,51.66,3,0,0,1
157.3,27,24,0,Female,5,27,1.21,0,0,0,1,0,0,0,0,0,0,0,1,27,0,7,35.98,8,22.23,0,0,0,1
266.1,9,25,0,Female,9,9,1.92,0,0,1,0,0,0,0,0,0,0,0,1,82,0,7,60.97,5,8.2,0,0,0,1
47.6,56,20,0,Female,2,56,0.22,0,0,0,1,0,0,0,0,0,0,0,1,2,0,7,60.97,1,1.64,0,0,0,1
